date,region_code,region,cases,deceased,tests,positive_tests,test_positivity,active_hospital_admissions,active_icu,population,acum14_cases,acum14_cases_per_100k,acum14_positive_tests,acum14_positive_tests_per_100k,acum7_positive_tests,acum7_positive_tests_per_100k,test_positivity_rate7,test_positivity_rate14,test7_av,acum14_deceased_per_1M,hosp14_average,aver14_positive_tests
2020-10-01,0,Illes_Balears,185,1,2858,100,"3,50%",235,48,1149460,2131,"185,39",1768,"153,81",749,"65,16","3,82%","4,42%",2799,"26,10",231,"126,2857143"
2020-10-01,1,Mallorca,,,,73,,193,47,896038,,,1245,"138,95",528,"58,93","3,53%","4,11%",,,"193,1428571","88,92857143"
2020-10-01,2,Menorca,,,,2,,2,0,93397,,,25,"26,77",15,"16,06","1,56%","1,32%",,,"4,214285714","1,785714286"
2020-10-01,3,Eivissa,,,,19,,40,1,147914,,,415,"280,57",167,"112,90","7,77%","8,89%",,,"33,64285714","29,64285714"
2020-10-01,4,Formentera,,,,0,,,,12111,,,12,"99,08",7,"57,80","6,09%",,,,,
2020-10-02,0,Illes_Balears,0,0,3088,114,"3,69%",216,48,1149460,2131,"185,39",1715,"149,20",703,"61,16","3,64%","4,36%",2757,"26,10",225,"122,5"
2020-10-02,1,Mallorca,,,,78,,176,47,896038,,,1209,"134,93",498,"55,58","3,40%","4,07%",,,"187,0714286","86,35714286"
2020-10-02,2,Menorca,,,,1,,3,0,93397,,,21,"22,48",13,"13,92","1,38%","1,15%",,,"4,5","1,5"
2020-10-02,3,Eivissa,,,,33,,37,1,147914,,,404,"273,13",156,"105,47","7,00%","8,59%",,,"33,42857143","28,85714286"
2020-10-02,4,Formentera,,,,0,,,,12111,,,12,"99,08",5,"41,28","4,10%",,,,,
2020-10-03,0,Illes_Balears,0,0,2036,112,"5,50%",213,47,1149460,2131,"185,39",1713,"149,03",703,"61,16","3,76%","4,37%",2667,"26,10","219,7857143","122,3571429"
2020-10-03,1,Mallorca,,,,97,,174,46,896038,,,1227,"136,94",514,"57,36","3,63%","4,13%",,,"181,7142857","87,64285714"
2020-10-03,2,Menorca,,,,2,,3,0,93397,,,21,"22,48",14,"14,99","1,46%","1,16%",,,"4,785714286","1,5"
2020-10-03,3,Eivissa,,,,11,,36,1,147914,,,387,"261,64",144,"97,35","6,76%","8,48%",,,"33,28571429","27,64285714"
2020-10-03,4,Formentera,,,,0,,,,12111,,,12,"99,08",5,"41,28","4,20%",,,,,
2020-10-04,0,Illes_Balears,297,4,1248,67,"5,37%",210,48,1149460,1846,"160,60",1674,"145,63",732,"63,68","3,92%","4,33%",2670,"23,49","214,8571429","119,5714286"
2020-10-04,1,Mallorca,,,,64,,171,47,896038,,,1193,"133,14",543,"60,60","3,84%","4,09%",,,"176,6428571","85,21428571"
2020-10-04,2,Menorca,,,,0,,3,0,93397,,,21,"22,48",14,"14,99","1,47%","1,16%",,,"5,071428571","1,5"
2020-10-04,3,Eivissa,,,,1,,36,1,147914,,,384,"259,61",144,"97,35","6,63%","8,44%",,,"33,14285714","27,42857143"
2020-10-04,4,Formentera,,,,0,,,,12111,,,12,"99,08",5,"41,28","4,17%",,,,,
2020-10-05,0,Illes_Balears,95,5,2712,107,"3,95%",219,41,1149460,1728,"150,33",1618,"140,76",767,"66,73","4,06%","4,20%",2696,"26,10","209,9285714","115,5714286"
2020-10-05,1,Mallorca,,,,81,,178,40,896038,,,1171,"130,69",587,"65,51","4,08%","4,03%",,,"171,2857143","83,64285714"
2020-10-05,2,Menorca,,,,1,,3,0,93397,,,19,"20,34",12,"12,85","1,25%","1,05%",,,"5,285714286","1,357142857"
2020-10-05,3,Eivissa,,,,19,,38,1,147914,,,357,"241,36",137,"92,62","6,26%","7,83%",,,"33,35714286","25,5"
2020-10-05,4,Formentera,,,,0,,,,12111,,,8,"66,06",0,"0,00","0,00%",,,,,
2020-10-06,0,Illes_Balears,139,1,3054,100,"3,27%",208,42,1149460,1727,"150,24",1547,"134,58",724,"62,99","3,96%","4,05%",2611,"21,75","206,0714286","110,5"
2020-10-06,1,Mallorca,,,,59,,169,41,896038,,,1115,"124,44",551,"61,49","3,96%","3,87%",,,"167,0714286","79,64285714"
2020-10-06,2,Menorca,,,,2,,3,0,93397,,,21,"22,48",8,"8,57","0,85%","1,15%",,,"5,5","1,5"
2020-10-06,3,Eivissa,,,,33,,36,1,147914,,,344,"232,57",135,"91,27","6,27%","7,58%",,,"33,5","24,57142857"
2020-10-06,4,Formentera,,,,0,,,,12111,,,8,"66,06",0,"0,00","0,00%",,,,,
2020-10-07,0,Illes_Balears,142,3,3067,127,"4,14%",185,43,1149460,1704,"148,24",1524,"132,58",727,"63,25","4,02%","4,02%",2580,"23,49","203,7857143","108,8571429"
2020-10-07,1,Mallorca,,,,89,,146,42,896038,,,1099,"122,65",541,"60,38","4,01%","3,83%",,,"164,4285714","78,5"
2020-10-07,2,Menorca,,,,1,,3,0,93397,,,22,"23,56",9,"9,64","0,97%","1,19%",,,"5,714285714","1,571428571"
2020-10-07,3,Eivissa,,,,32,,36,1,147914,,,333,"225,13",148,"100,06","6,33%","7,28%",,,"33,64285714","23,78571429"
2020-10-07,4,Formentera,,,,0,,,,12111,,,7,"57,80",0,"0,00","0,00%",,,,,
2020-10-08,0,Illes_Balears,114,3,3138,131,"4,17%",185,40,1149460,1664,"144,76",1507,"131,11",758,"65,94","4,13%","3,97%",2620,"25,23","201,5714286","107,6428571"
2020-10-08,1,Mallorca,,,,99,,151,39,896038,,,1095,"122,20",567,"63,28","4,15%","3,83%",,,"161,2857143","78,21428571"
2020-10-08,2,Menorca,,,,6,,3,0,93397,,,28,"29,98",13,"13,92","1,40%","1,48%",,,6,2
2020-10-08,3,Eivissa,,,,23,,31,1,147914,,,319,"215,67",152,"102,76","6,32%","7,00%",,,"34,28571429","22,78571429"
2020-10-08,4,Formentera,,,,0,,,,12111,,,7,"57,80",0,"0,00","0,00%",,,,,
2020-10-09,0,Illes_Balears,0,0,2788,124,"4,45%",161,39,1149460,1664,"144,76",1471,"127,97",768,"66,81","4,26%","3,94%",2578,"25,23","200,7142857","105,0714286"
2020-10-09,1,Mallorca,,,,97,,132,37,896038,,,1084,"120,98",586,"65,40","4,37%","3,86%",,,"159,1428571","77,42857143"
2020-10-09,2,Menorca,,,,15,,3,0,93397,,,40,"42,83",27,"28,91","2,85%","2,12%",,,"6,285714286","2,857142857"
2020-10-09,3,Eivissa,,,,8,,26,2,147914,,,283,"191,33",127,"85,86","5,63%","6,31%",,,"35,28571429","20,21428571"
2020-10-09,4,Formentera,,,,0,,,,12111,,,5,"41,28",0,"0,00","0,00%",,,,,
2020-10-10,0,Illes_Balears,0,0,2421,105,"4,34%",170,41,1149460,1664,"144,76",1464,"127,36",761,"66,21","4,13%","3,95%",2633,"25,23","200,0714286","104,5714286"
2020-10-10,1,Mallorca,,,,93,,137,39,896038,,,1096,"122,32",582,"64,95","4,17%","3,90%",,,"157,4285714","78,28571429"
2020-10-10,2,Menorca,,,,7,,4,0,93397,,,46,"49,25",32,"34,26","3,28%","2,38%",,,"6,5","3,285714286"
2020-10-10,3,Eivissa,,,,2,,29,2,147914,,,262,"177,13",118,"79,78","5,76%","6,27%",,,"36,14285714","18,71428571"
2020-10-10,4,Formentera,,,,0,,,,12111,,,5,"41,28",0,"0,00","0,00%",,,,,
2020-10-11,0,Illes_Balears,0,0,1592,117,"7,35%",186,43,1149460,1358,"118,14",1543,"134,24",811,"70,55","4,32%","4,12%",2682,"23,49","198,1428571","110,2142857"
2020-10-11,1,Mallorca,,,,86,,152,40,896038,,,1147,"128,01",604,"67,41","4,30%","4,07%",,,"154,8571429","81,92857143"
2020-10-11,2,Menorca,,,,6,,4,1,93397,,,52,"55,68",38,"40,69","3,71%","2,63%",,,"6,5","3,714285714"
2020-10-11,3,Eivissa,,,,19,,30,2,147914,,,280,"189,30",136,"91,95","5,89%","6,25%",,,"36,78571429",20
2020-10-11,4,Formentera,,,,0,,,,12111,,,5,"41,28",0,"0,00","0,00%",,,,,
2020-10-12,0,Illes_Balears,479,0,1312,67,"5,11%",195,42,1149460,1748,"152,07",1538,"133,80",771,"67,07","4,44%","4,24%",2482,"21,75","195,4285714","109,8571429"
2020-10-12,1,Mallorca,,,,62,,163,38,896038,,,1172,"130,80",585,"65,29","4,50%","4,28%",,,"151,4285714","83,71428571"
2020-10-12,2,Menorca,,,,4,,4,2,93397,,,53,"56,75",41,"43,90","4,03%","2,68%",,,"6,5","3,785714286"
2020-10-12,3,Eivissa,,,,0,,28,2,147914,,,254,"171,72",117,"79,10","5,74%","6,01%",,,"37,57142857","18,14285714"
2020-10-12,4,Formentera,,,,0,,,,12111,,,0,"0,00",0,"0,00","0,00%",,,,,
2020-10-13,0,Illes_Balears,104,5,2823,128,"4,53%",183,41,1149460,1704,"148,24",1523,"132,50",799,"69,51","4,66%","4,30%",2449,"20,88","193,5714286","108,7857143"
2020-10-13,1,Mallorca,,,,98,,148,37,896038,,,1175,"131,13",624,"69,64","4,86%","4,39%",,,"148,8571429","83,92857143"
2020-10-13,2,Menorca,,,,5,,5,2,93397,,,52,"55,68",44,"47,11","4,44%","2,70%",,,"6,428571429","3,714285714"
2020-10-13,3,Eivissa,,,,23,,30,2,147914,,,242,"163,61",107,"72,34","5,62%","5,97%",,,"38,35714286","17,28571429"
2020-10-13,4,Formentera,,,,0,,,,12111,,,0,"0,00",0,"0,00","0,00%",,,,,
2020-10-14,0,Illes_Balears,139,4,2604,150,"5,76%",161,40,1149460,1694,"147,37",1549,"134,76",822,"71,51","4,93%","4,46%",2383,"22,62","194,2857143","110,6428571"
2020-10-14,1,Mallorca,,,,113,,127,36,896038,,,1189,"132,70",648,"72,32","5,16%","4,56%",,,"148,1428571","84,92857143"
2020-10-14,2,Menorca,,,,4,,5,2,93397,,,56,"59,96",47,"50,32","4,59%","2,87%",,,"6,357142857",4
2020-10-14,3,Eivissa,,,,27,,29,2,147914,,,250,"169,02",102,"68,96","5,89%","6,14%",,,"39,85714286","17,85714286"
2020-10-14,4,Formentera,,,,0,,,,12111,,,0,"0,00",0,"0,00","0,00%",,,,,
2020-10-15,0,Illes_Balears,125,2,2957,98,"3,31%",148,39,1149460,1634,"142,15",1547,"134,58",789,"68,64","4,78%","4,44%",2357,"23,49",195,"110,5"
2020-10-15,1,Mallorca,,,,72,,116,35,896038,,,1188,"132,58",621,"69,31","4,91%","4,52%",,,"147,2857143","84,85714286"
2020-10-15,2,Menorca,,,,5,,4,2,93397,,,59,"63,17",46,"49,25","4,49%","3,02%",,,"6,428571429","4,214285714"
2020-10-15,3,Eivissa,,,,17,,28,2,147914,,,248,"167,66",96,"64,90","6,52%","6,39%",,,"41,35714286","17,71428571"
2020-10-15,4,Formentera,,,,0,,,,12111,,,0,"0,00",0,"0,00","0,00%",,,,,
2020-10-16,0,Illes_Balears,0,0,3235,159,"4,91%",141,39,1149460,1634,"142,15",1592,"138,50",824,"71,69","4,86%","4,55%",2421,"23,49","196,5","113,7142857"
2020-10-16,1,Mallorca,,,,110,,103,35,896038,,,1220,"136,15",634,"70,76","4,82%","4,59%",,,"147,3571429","87,14285714"
2020-10-16,2,Menorca,,,,13,,5,2,93397,,,71,"76,02",44,"47,11","4,17%","3,55%",,,"6,357142857","5,071428571"
2020-10-16,3,Eivissa,,,,28,,33,2,147914,,,243,"164,28",116,"78,42","8,01%","6,56%",,,"42,85714286","17,35714286"
2020-10-16,4,Formentera,,,,0,,,,12111,,,0,"0,00",0,"0,00","0,00%",,,,,
2020-10-17,0,Illes_Balears,0,0,2661,119,"4,47%",147,40,1149460,1634,"142,15",1599,"139,11",838,"72,90","4,88%","4,49%",2455,"23,49","198,4285714","114,2142857"
2020-10-17,1,Mallorca,,,,101,,110,35,896038,,,1224,"136,60",642,"71,65","4,86%","4,51%",,,"147,4285714","87,42857143"
2020-10-17,2,Menorca,,,,6,,5,2,93397,,,75,"80,30",43,"46,04","3,90%","3,61%",,,"6,285714286","5,357142857"
2020-10-17,3,Eivissa,,,,7,,32,3,147914,,,239,"161,58",121,"81,80","7,72%","6,61%",,,"44,78571429","17,07142857"
2020-10-17,4,Formentera,,,,0,,,,12111,,,0,"0,00",0,"0,00","0,00%",,,,,
2020-10-18,0,Illes_Balears,372,0,1399,80,"5,72%",150,39,1149460,1709,"148,68",1612,"140,24",801,"69,68","4,71%","4,51%",2427,"20,01","200,0714286","115,1428571"
2020-10-18,1,Mallorca,,,,76,,112,35,896038,,,1236,"137,94",632,"70,53","4,73%","4,51%",,,"147,6428571","88,28571429"
2020-10-18,2,Menorca,,,,0,,5,2,93397,,,75,"80,30",37,"39,62","3,50%","3,60%",,,"6,214285714","5,357142857"
2020-10-18,3,Eivissa,,,,0,,33,2,147914,,,238,"160,90",102,"68,96","8,00%","6,64%",,,"46,28571429",17
2020-10-18,4,Formentera,,,,0,,,,12111,,,0,"0,00",0,"0,00","0,00%",,,,,
2020-10-19,0,Illes_Balears,121,5,2529,146,"5,77%",152,39,1149460,1735,"150,94",1651,"143,63",880,"76,56","4,83%","4,64%",2601,"20,01","201,7857143","117,9285714"
2020-10-19,1,Mallorca,,,,73,,108,35,896038,,,1228,"137,05",643,"71,76","4,62%","4,56%",,,"148,4285714","87,71428571"
2020-10-19,2,Menorca,,,,8,,4,2,93397,,,82,"87,80",41,"43,90","3,69%","3,85%",,,"6,214285714","5,857142857"
2020-10-19,3,Eivissa,,,,44,,40,2,147914,,,263,"177,81",146,"98,71","8,86%","7,14%",,,"47,21428571","18,78571429"
2020-10-19,4,Formentera,,,,1,,,,12111,,,1,"8,26",1,"8,26","1,25%",,,,,
2020-10-20,0,Illes_Balears,164,4,3682,204,"5,54%",156,40,1149460,1760,"153,12",1755,"152,68",956,"83,17","5,01%","4,85%",2724,"22,62","205,0714286","125,3571429"
2020-10-20,1,Mallorca,,,,161,,116,35,896038,,,1330,"148,43",706,"78,79","4,78%","4,82%",,,"149,7857143",95
